ID,¿En que Ciudad o Municipio resides?,¿Qué edad tienes?,¿Comparas precios al momento de realizar una compra?,¿Cuántas opciones revisas?,¿Realizas compras por internet y-o plataformas digitales?,Ordena por orden de importancia los  factores más relevante al momento de realizar la compra final a través de una plataforma digital,Usualmente- porque medio adquiere sus productos farmacéuticos en tiempo de pandemia,¿Cuál de estos factores es más relevante al momento de realizar la compra final de productos farmacéuticos  a través de una plataforma digital?,¿ A través de que dispositivos realizas las compras por internet?
1,Barranquilla,24,Si,4 a 8,Si,Precio-Calidad-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de plataforma digital,Distancia - tiempo del domicilio ,Smartphone
2,Barranquilla,26,Si,2 a 4,Si,Distancia - Tiempo de Domicilio-Precio-Calidad-,Servicios a domicilio a través de plataforma digital,Distancia - tiempo del domicilio ,Smartphone
3,Barranquilla,27,Si,2 a 4,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de llamada telefónica ,,Computador de mesa 
4,Barranquilla,22,Si,2 a 4,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de plataforma digital,Distancia - tiempo del domicilio ,Smartphone
5,Barranquilla,40,Si,2 a 4,Si,Distancia - Tiempo de Domicilio-Calidad-Precio-,Servicios a domicilio a través de llamada telefónica ,,Smartphone
6,Barranquilla,26,Si,2 a 4,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de plataforma digital,Precio,Smartphone
7,Barranquilla ,45,Si,2 a 4,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de llamada telefónica ,,Smartphone
8,Barranquilla,27,Si,2 a 4,Si,Precio-Calidad-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de llamada telefónica ,,Smartphone
9,Barranquilla,26,Si,2 a 4,Si,Precio-Calidad-Distancia - Tiempo de Domicilio-,Presencial en el punto de venta,,Smartphone
10,Bogota,29,Si,2 a 4,Si,Precio-Calidad-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de llamada telefónica ,,Smartphone
